Provinces_Name,Time,Literacy,Total_Population,Education_expenditure,Pulau
Bali,2010,0.88,391,114,Bali & Nusa Tenggara
Bali,2011,0.89,396,191,Bali & Nusa Tenggara
Bali,2012,0.90,401,214,Bali & Nusa Tenggara
Bali,2013,0.91,406,165,Bali & Nusa Tenggara
Bali,2014,0.93,410,216,Bali & Nusa Tenggara
Bali,2015,0.93,415,98,Bali & Nusa Tenggara
Bali,2016,0.93,420,3,Bali & Nusa Tenggara
Bali,2017,0.93,425,1837,Bali & Nusa Tenggara
Bali,2018,0.93,429,1823,Bali & Nusa Tenggara
Bali,2019,0.95,434,1865,Bali & Nusa Tenggara
Bali,2020,0.96,438,1898,Bali & Nusa Tenggara
Bali,2021,0.95,442,1862,Bali & Nusa Tenggara
Bali,2022,0.95,447,1875,Bali & Nusa Tenggara
Bali,2023,0.95,451,1878,Bali & Nusa Tenggara
Bali,2024,0.95,456,1871,Bali & Nusa Tenggara
Bali,2025,0.95,460,1875,Bali & Nusa Tenggara
Bali,2026,0.95,464,1875,Bali & Nusa Tenggara
Bali,2027,0.95,469,1874,Bali & Nusa Tenggara
Bali,2028,0.95,473,1874,Bali & Nusa Tenggara
Bali,2029,0.95,478,1874,Bali & Nusa Tenggara
Bali,2030,0.95,482,1874,Bali & Nusa Tenggara
Bali,2031,0.95,486,1874,Bali & Nusa Tenggara
Bali,2032,0.95,491,1874,Bali & Nusa Tenggara
Bali,2033,0.95,495,1874,Bali & Nusa Tenggara
Bali,2034,0.95,500,1874,Bali & Nusa Tenggara
Bali,2035,0.95,504,1874,Bali & Nusa Tenggara
Bali,2036,0.95,508,1874,Bali & Nusa Tenggara
Bali,2037,0.95,513,1874,Bali & Nusa Tenggara
Bali,2038,0.95,517,1874,Bali & Nusa Tenggara
Bali,2039,0.95,521,1874,Bali & Nusa Tenggara
Bali,2040,0.95,526,1874,Bali & Nusa Tenggara
Bali,2041,0.95,530,1874,Bali & Nusa Tenggara
Bali,2042,0.95,535,1874,Bali & Nusa Tenggara
Bali,2043,0.95,539,1874,Bali & Nusa Tenggara
Bali,2044,0.95,543,1874,Bali & Nusa Tenggara
Bali,2045,0.95,548,1874,Bali & Nusa Tenggara
Banten,2010,0.96,1069,196,Jawa
Banten,2011,0.96,1094,213,Jawa
Banten,2012,0.97,1120,263,Jawa
Banten,2013,0.97,1145,273,Jawa
Banten,2014,0.97,1170,1146,Jawa
Banten,2015,0.97,1196,202,Jawa
Banten,2016,0.98,1220,408,Jawa
Banten,2017,0.98,1245,3330,Jawa
Banten,2018,0.98,1269,3536,Jawa
Banten,2019,0.98,1293,3922,Jawa
Banten,2020,0.99,1316,4298,Jawa
Banten,2021,0.98,1339,3919,Jawa
Banten,2022,0.99,1363,4046,Jawa
Banten,2023,0.99,1386,4088,Jawa
Banten,2024,0.99,1409,4018,Jawa
Banten,2025,0.99,1433,4050,Jawa
Banten,2026,0.99,1456,4052,Jawa
Banten,2027,0.99,1479,4040,Jawa
Banten,2028,0.99,1503,4047,Jawa
Banten,2029,0.99,1526,4046,Jawa
Banten,2030,0.99,1549,4045,Jawa
Banten,2031,0.99,1573,4046,Jawa
Banten,2032,0.99,1596,4046,Jawa
Banten,2033,0.99,1619,4045,Jawa
Banten,2034,0.99,1643,4046,Jawa
Banten,2035,0.99,1666,4046,Jawa
Banten,2036,0.99,1689,4046,Jawa
Banten,2037,0.99,1712,4046,Jawa
Banten,2038,0.99,1736,4046,Jawa
Banten,2039,0.99,1759,4046,Jawa
Banten,2040,0.99,1782,4046,Jawa
Banten,2041,0.99,1806,4046,Jawa
Banten,2042,0.99,1829,4046,Jawa
Banten,2043,0.99,1852,4046,Jawa
Banten,2044,0.99,1876,4046,Jawa
Banten,2045,0.99,1899,4046,Jawa
Bengkulu,2010,0.95,172,73,Sumatera
Bengkulu,2011,0.95,175,78,Sumatera
Bengkulu,2012,0.96,178,133,Sumatera
Bengkulu,2013,0.97,181,95,Sumatera
Bengkulu,2014,0.98,184,102,Sumatera
Bengkulu,2015,0.98,187,95,Sumatera
Bengkulu,2016,0.98,190,135,Sumatera
Bengkulu,2017,0.98,193,680,Sumatera
Bengkulu,2018,0.98,196,1034,Sumatera
Bengkulu,2019,0.98,199,1071,Sumatera
Bengkulu,2020,0.99,202,1153,Sumatera
Bengkulu,2021,0.99,205,1086,Sumatera
Bengkulu,2022,0.99,208,1103,Sumatera
Bengkulu,2023,0.99,210,1114,Sumatera
Bengkulu,2024,0.99,213,1101,Sumatera
Bengkulu,2025,0.99,216,1106,Sumatera
Bengkulu,2026,0.99,219,1107,Sumatera
Bengkulu,2027,0.99,222,1105,Sumatera
Bengkulu,2028,0.99,224,1106,Sumatera
Bengkulu,2029,0.99,227,1106,Sumatera
Bengkulu,2030,0.99,230,1105,Sumatera
Bengkulu,2031,0.99,233,1106,Sumatera
Bengkulu,2032,0.99,236,1106,Sumatera
Bengkulu,2033,0.99,238,1106,Sumatera
Bengkulu,2034,0.99,241,1106,Sumatera
Bengkulu,2035,0.99,244,1106,Sumatera
Bengkulu,2036,0.99,247,1106,Sumatera
Bengkulu,2037,0.99,250,1106,Sumatera
Bengkulu,2038,0.99,252,1106,Sumatera
Bengkulu,2039,0.99,255,1106,Sumatera
Bengkulu,2040,0.99,258,1106,Sumatera
Bengkulu,2041,0.99,261,1106,Sumatera
Bengkulu,2042,0.99,264,1106,Sumatera
Bengkulu,2043,0.99,266,1106,Sumatera
Bengkulu,2044,0.99,269,1106,Sumatera
Bengkulu,2045,0.99,272,1106,Sumatera
DI Yogyakarta,2010,0.91,347,219,Jawa
DI Yogyakarta,2011,0.91,351,162,Jawa
DI Yogyakarta,2012,0.92,355,244,Jawa
DI Yogyakarta,2013,0.93,359,216,Jawa
DI Yogyakarta,2014,0.94,364,260,Jawa
DI Yogyakarta,2015,0.94,368,122,Jawa
DI Yogyakarta,2016,0.95,372,356,Jawa
DI Yogyakarta,2017,0.95,376,1461,Jawa
DI Yogyakarta,2018,0.95,380,1270,Jawa
DI Yogyakarta,2019,0.95,384,1287,Jawa
DI Yogyakarta,2020,0.96,388,1749,Jawa
DI Yogyakarta,2021,0.95,392,1435,Jawa
DI Yogyakarta,2022,0.96,396,1490,Jawa
DI Yogyakarta,2023,0.96,400,1558,Jawa
DI Yogyakarta,2024,0.96,404,1495,Jawa
DI Yogyakarta,2025,0.96,408,1514,Jawa
DI Yogyakarta,2026,0.96,412,1522,Jawa
DI Yogyakarta,2027,0.96,416,1511,Jawa
DI Yogyakarta,2028,0.96,420,1516,Jawa
DI Yogyakarta,2029,0.96,424,1516,Jawa
DI Yogyakarta,2030,0.96,428,1514,Jawa
DI Yogyakarta,2031,0.96,432,1515,Jawa
DI Yogyakarta,2032,0.96,435,1515,Jawa
DI Yogyakarta,2033,0.96,439,1515,Jawa
DI Yogyakarta,2034,0.96,443,1515,Jawa
DI Yogyakarta,2035,0.96,447,1515,Jawa
DI Yogyakarta,2036,0.96,451,1515,Jawa
DI Yogyakarta,2037,0.96,455,1515,Jawa
DI Yogyakarta,2038,0.96,459,1515,Jawa
DI Yogyakarta,2039,0.96,463,1515,Jawa
DI Yogyakarta,2040,0.96,467,1515,Jawa
DI Yogyakarta,2041,0.96,471,1515,Jawa
DI Yogyakarta,2042,0.96,475,1515,Jawa
DI Yogyakarta,2043,0.96,479,1515,Jawa
DI Yogyakarta,2044,0.96,483,1515,Jawa
DI Yogyakarta,2045,0.96,487,1515,Jawa
DKI Jakarta,2010,0.99,964,7329,Jawa
DKI Jakarta,2011,0.99,975,8356,Jawa
DKI Jakarta,2012,0.99,986,10164,Jawa
DKI Jakarta,2013,0.99,997,8616,Jawa
DKI Jakarta,2014,0.99,1008,9045,Jawa
DKI Jakarta,2015,0.99,1018,9275,Jawa
DKI Jakarta,2016,0.99,1028,8979,Jawa
DKI Jakarta,2017,0.99,1037,13263,Jawa
DKI Jakarta,2018,0.99,1047,15792,Jawa
DKI Jakarta,2019,0.99,1056,21779,Jawa
DKI Jakarta,2020,0.99,1064,14610,Jawa
DKI Jakarta,2021,0.99,1073,17393,Jawa
DKI Jakarta,2022,0.99,1082,17927,Jawa
DKI Jakarta,2023,0.99,1091,16643,Jawa
DKI Jakarta,2024,0.99,1099,17321,Jawa
DKI Jakarta,2025,0.99,1108,17297,Jawa
DKI Jakarta,2026,0.99,1117,17087,Jawa
DKI Jakarta,2027,0.99,1126,17235,Jawa
DKI Jakarta,2028,0.99,1134,17207,Jawa
DKI Jakarta,2029,0.99,1143,17177,Jawa
DKI Jakarta,2030,0.99,1152,17206,Jawa
DKI Jakarta,2031,0.99,1160,17196,Jawa
DKI Jakarta,2032,0.99,1169,17193,Jawa
DKI Jakarta,2033,0.99,1178,17199,Jawa
DKI Jakarta,2034,0.99,1187,17196,Jawa
DKI Jakarta,2035,0.99,1195,17196,Jawa
DKI Jakarta,2036,0.99,1204,17197,Jawa
DKI Jakarta,2037,0.99,1213,17196,Jawa
DKI Jakarta,2038,0.99,1221,17196,Jawa
DKI Jakarta,2039,0.99,1230,17196,Jawa
DKI Jakarta,2040,0.99,1239,17196,Jawa
DKI Jakarta,2041,0.99,1248,17196,Jawa
DKI Jakarta,2042,0.99,1256,17196,Jawa
DKI Jakarta,2043,0.99,1265,17196,Jawa
DKI Jakarta,2044,0.99,1274,17196,Jawa
DKI Jakarta,2045,0.99,1282,17196,Jawa
Gorontalo,2010,0.96,104,48,Sulawesi
Gorontalo,2011,0.95,106,84,Sulawesi
Gorontalo,2012,0.95,108,55,Sulawesi
Gorontalo,2013,0.97,110,70,Sulawesi
Gorontalo,2014,0.98,112,84,Sulawesi
Gorontalo,2015,0.98,113,52,Sulawesi
Gorontalo,2016,0.98,115,117,Sulawesi
Gorontalo,2017,0.98,117,600,Sulawesi
Gorontalo,2018,0.99,119,602,Sulawesi
Gorontalo,2019,0.99,120,644,Sulawesi
Gorontalo,2020,0.99,122,694,Sulawesi
Gorontalo,2021,0.99,124,646,Sulawesi
Gorontalo,2022,0.99,125,661,Sulawesi
Gorontalo,2023,0.99,127,667,Sulawesi
Gorontalo,2024,0.99,129,658,Sulawesi
Gorontalo,2025,0.99,130,662,Sulawesi
Gorontalo,2026,0.99,132,663,Sulawesi
Gorontalo,2027,0.99,134,661,Sulawesi
Gorontalo,2028,0.99,136,662,Sulawesi
Gorontalo,2029,0.99,137,662,Sulawesi
Gorontalo,2030,0.99,139,662,Sulawesi
Gorontalo,2031,0.99,141,662,Sulawesi
Gorontalo,2032,0.99,142,662,Sulawesi
Gorontalo,2033,0.99,144,662,Sulawesi
Gorontalo,2034,0.99,146,662,Sulawesi
Gorontalo,2035,0.99,147,662,Sulawesi
Gorontalo,2036,0.99,149,662,Sulawesi
Gorontalo,2037,0.99,151,662,Sulawesi
Gorontalo,2038,0.99,152,662,Sulawesi
Gorontalo,2039,0.99,154,662,Sulawesi
Gorontalo,2040,0.99,156,662,Sulawesi
Gorontalo,2041,0.99,158,662,Sulawesi
Gorontalo,2042,0.99,159,662,Sulawesi
Gorontalo,2043,0.99,161,662,Sulawesi
Gorontalo,2044,0.99,163,662,Sulawesi
Gorontalo,2045,0.99,164,662,Sulawesi
Jambi,2010,0.96,311,179,Sumatera
Jambi,2011,0.96,317,173,Sumatera
Jambi,2012,0.96,323,241,Sumatera
Jambi,2013,0.97,329,198,Sumatera
Jambi,2014,0.98,334,2656,Sumatera
Jambi,2015,0.98,340,166,Sumatera
Jambi,2016,0.98,346,211,Sumatera
Jambi,2017,0.98,352,1385,Sumatera
Jambi,2018,0.98,357,1508,Sumatera
Jambi,2019,0.98,362,1654,Sumatera
Jambi,2020,0.99,368,1682,Sumatera
Jambi,2021,0.99,373,1615,Sumatera
Jambi,2022,0.99,378,1650,Sumatera
Jambi,2023,0.99,384,1649,Sumatera
Jambi,2024,0.99,389,1638,Sumatera
Jambi,2025,0.99,394,1646,Sumatera
Jambi,2026,0.99,400,1644,Sumatera
Jambi,2027,0.99,405,1642,Sumatera
Jambi,2028,0.99,410,1644,Sumatera
Jambi,2029,0.99,416,1644,Sumatera
Jambi,2030,0.99,421,1643,Sumatera
Jambi,2031,0.99,426,1644,Sumatera
Jambi,2032,0.99,432,1643,Sumatera
Jambi,2033,0.99,437,1643,Sumatera
Jambi,2034,0.99,442,1644,Sumatera
Jambi,2035,0.99,448,1643,Sumatera
Jambi,2036,0.99,453,1643,Sumatera
Jambi,2037,0.99,458,1644,Sumatera
Jambi,2038,0.99,464,1643,Sumatera
Jambi,2039,0.99,469,1643,Sumatera
Jambi,2040,0.99,474,1644,Sumatera
Jambi,2041,0.99,480,1643,Sumatera
Jambi,2042,0.99,485,1643,Sumatera
Jambi,2043,0.99,490,1643,Sumatera
Jambi,2044,0.99,496,1643,Sumatera
Jambi,2045,0.99,501,1643,Sumatera
Jawa Barat,2010,0.96,4323,665,Jawa
Jawa Barat,2011,0.96,4394,726,Jawa
Jawa Barat,2012,0.96,4464,788,Jawa
Jawa Barat,2013,0.97,4534,757,Jawa
Jawa Barat,2014,0.98,4603,772,Jawa
Jawa Barat,2015,0.98,4671,192,Jawa
Jawa Barat,2016,0.98,4738,482,Jawa
Jawa Barat,2017,0.98,4804,7979,Jawa
Jawa Barat,2018,0.98,4868,13255,Jawa
Jawa Barat,2019,0.99,4932,13968,Jawa
Jawa Barat,2020,0.99,4994,15193,Jawa
Jawa Barat,2021,0.99,5056,14139,Jawa
Jawa Barat,2022,0.99,5117,14433,Jawa
Jawa Barat,2023,0.99,5179,14588,Jawa
Jawa Barat,2024,0.99,5241,14387,Jawa
Jawa Barat,2025,0.99,5303,14469,Jawa
Jawa Barat,2026,0.99,5365,14482,Jawa
Jawa Barat,2027,0.99,5427,14446,Jawa
Jawa Barat,2028,0.99,5489,14466,Jawa
Jawa Barat,2029,0.99,5551,14464,Jawa
Jawa Barat,2030,0.99,5613,14459,Jawa
Jawa Barat,2031,0.99,5675,14463,Jawa
Jawa Barat,2032,0.99,5737,14462,Jawa
Jawa Barat,2033,0.99,5798,14461,Jawa
Jawa Barat,2034,0.99,5860,14462,Jawa
Jawa Barat,2035,0.99,5922,14462,Jawa
Jawa Barat,2036,0.99,5984,14462,Jawa
Jawa Barat,2037,0.99,6046,14462,Jawa
Jawa Barat,2038,0.99,6108,14462,Jawa
Jawa Barat,2039,0.99,6170,14462,Jawa
Jawa Barat,2040,0.99,6232,14462,Jawa
Jawa Barat,2041,0.99,6294,14462,Jawa
Jawa Barat,2042,0.99,6356,14462,Jawa
Jawa Barat,2043,0.99,6418,14462,Jawa
Jawa Barat,2044,0.99,6480,14462,Jawa
Jawa Barat,2045,0.99,6541,14462,Jawa
Jawa Tengah,2010,0.90,3244,292,Jawa
Jawa Tengah,2011,0.90,3273,301,Jawa
Jawa Tengah,2012,0.90,3300,363,Jawa
Jawa Tengah,2013,0.92,3326,308,Jawa
Jawa Tengah,2014,0.93,3352,324,Jawa
Jawa Tengah,2015,0.93,3377,184,Jawa
Jawa Tengah,2016,0.93,3402,64,Jawa
Jawa Tengah,2017,0.93,3426,5204,Jawa
Jawa Tengah,2018,0.93,3449,6402,Jawa
Jawa Tengah,2019,0.94,3472,7116,Jawa
Jawa Tengah,2020,0.94,3494,7390,Jawa
Jawa Tengah,2021,0.94,3516,6969,Jawa
Jawa Tengah,2022,0.94,3538,7158,Jawa
Jawa Tengah,2023,0.94,3561,7172,Jawa
Jawa Tengah,2024,0.94,3583,7100,Jawa
Jawa Tengah,2025,0.94,3605,7144,Jawa
Jawa Tengah,2026,0.94,3627,7139,Jawa
Jawa Tengah,2027,0.94,3649,7127,Jawa
Jawa Tengah,2028,0.94,3672,7137,Jawa
Jawa Tengah,2029,0.94,3694,7134,Jawa
Jawa Tengah,2030,0.94,3716,7133,Jawa
Jawa Tengah,2031,0.94,3738,7135,Jawa
Jawa Tengah,2032,0.94,3760,7134,Jawa
Jawa Tengah,2033,0.94,3782,7134,Jawa
Jawa Tengah,2034,0.94,3805,7134,Jawa
Jawa Tengah,2035,0.94,3827,7134,Jawa
Jawa Tengah,2036,0.94,3849,7134,Jawa
Jawa Tengah,2037,0.94,3871,7134,Jawa
Jawa Tengah,2038,0.94,3893,7134,Jawa
Jawa Tengah,2039,0.94,3916,7134,Jawa
Jawa Tengah,2040,0.94,3938,7134,Jawa
Jawa Tengah,2041,0.94,3960,7134,Jawa
Jawa Tengah,2042,0.94,3982,7134,Jawa
Jawa Tengah,2043,0.94,4004,7134,Jawa
Jawa Tengah,2044,0.94,4027,7134,Jawa
Jawa Tengah,2045,0.94,4049,7134,Jawa
Jawa Timur,2010,0.88,3757,321,Jawa
Jawa Timur,2011,0.89,3784,386,Jawa
Jawa Timur,2012,0.89,3811,412,Jawa
Jawa Timur,2013,0.90,3836,373,Jawa
Jawa Timur,2014,0.91,3861,513,Jawa
Jawa Timur,2015,0.91,3885,282,Jawa
Jawa Timur,2016,0.92,3908,251,Jawa
Jawa Timur,2017,0.92,3929,9894,Jawa
Jawa Timur,2018,0.92,3950,9549,Jawa
Jawa Timur,2019,0.92,3970,10668,Jawa
Jawa Timur,2020,0.93,3989,11014,Jawa
Jawa Timur,2021,0.92,4007,10410,Jawa
Jawa Timur,2022,0.93,4026,10698,Jawa
Jawa Timur,2023,0.93,4045,10707,Jawa
Jawa Timur,2024,0.93,4064,10605,Jawa
Jawa Timur,2025,0.93,4082,10670,Jawa
Jawa Timur,2026,0.93,4101,10661,Jawa
Jawa Timur,2027,0.93,4120,10645,Jawa
Jawa Timur,2028,0.93,4139,10659,Jawa
Jawa Timur,2029,0.93,4158,10655,Jawa
Jawa Timur,2030,0.93,4176,10653,Jawa
Jawa Timur,2031,0.93,4195,10655,Jawa
Jawa Timur,2032,0.93,4214,10654,Jawa
Jawa Timur,2033,0.93,4233,10654,Jawa
Jawa Timur,2034,0.93,4251,10655,Jawa
Jawa Timur,2035,0.93,4270,10654,Jawa
Jawa Timur,2036,0.93,4289,10655,Jawa
Jawa Timur,2037,0.93,4308,10655,Jawa
Jawa Timur,2038,0.93,4326,10655,Jawa
Jawa Timur,2039,0.93,4345,10655,Jawa
Jawa Timur,2040,0.93,4364,10655,Jawa
Jawa Timur,2041,0.93,4383,10655,Jawa
Jawa Timur,2042,0.93,4401,10655,Jawa
Jawa Timur,2043,0.93,4420,10655,Jawa
Jawa Timur,2044,0.93,4439,10655,Jawa
Jawa Timur,2045,0.93,4458,10655,Jawa
Kalimantan Barat,2010,0.90,441,86,Kalimantan
Kalimantan Barat,2011,0.90,449,105,Kalimantan
Kalimantan Barat,2012,0.91,457,123,Kalimantan
Kalimantan Barat,2013,0.92,464,11,Kalimantan
Kalimantan Barat,2014,0.92,472,80,Kalimantan
Kalimantan Barat,2015,0.92,479,175,Kalimantan
Kalimantan Barat,2016,0.92,486,171,Kalimantan
Kalimantan Barat,2017,0.92,493,1760,Kalimantan
Kalimantan Barat,2018,0.93,500,1765,Kalimantan
Kalimantan Barat,2019,0.93,507,2095,Kalimantan
Kalimantan Barat,2020,0.95,513,2349,Kalimantan
Kalimantan Barat,2021,0.94,520,2069,Kalimantan
Kalimantan Barat,2022,0.94,527,2171,Kalimantan
Kalimantan Barat,2023,0.94,533,2197,Kalimantan
Kalimantan Barat,2024,0.94,540,2146,Kalimantan
Kalimantan Barat,2025,0.94,546,2171,Kalimantan
Kalimantan Barat,2026,0.94,553,2171,Kalimantan
Kalimantan Barat,2027,0.94,559,2163,Kalimantan
Kalimantan Barat,2028,0.94,566,2168,Kalimantan
Kalimantan Barat,2029,0.94,573,2167,Kalimantan
Kalimantan Barat,2030,0.94,579,2166,Kalimantan
Kalimantan Barat,2031,0.94,586,2167,Kalimantan
Kalimantan Barat,2032,0.94,592,2167,Kalimantan
Kalimantan Barat,2033,0.94,599,2167,Kalimantan
Kalimantan Barat,2034,0.94,605,2167,Kalimantan
Kalimantan Barat,2035,0.94,612,2167,Kalimantan
Kalimantan Barat,2036,0.94,618,2167,Kalimantan
Kalimantan Barat,2037,0.94,625,2167,Kalimantan
Kalimantan Barat,2038,0.94,632,2167,Kalimantan
Kalimantan Barat,2039,0.94,638,2167,Kalimantan
Kalimantan Barat,2040,0.94,645,2167,Kalimantan
Kalimantan Barat,2041,0.94,651,2167,Kalimantan
Kalimantan Barat,2042,0.94,658,2167,Kalimantan
Kalimantan Barat,2043,0.94,664,2167,Kalimantan
Kalimantan Barat,2044,0.94,671,2167,Kalimantan
Kalimantan Barat,2045,0.94,678,2167,Kalimantan
Kalimantan Selatan,2010,0.96,364,440,Kalimantan
Kalimantan Selatan,2011,0.96,371,370,Kalimantan
Kalimantan Selatan,2012,0.96,378,378,Kalimantan
Kalimantan Selatan,2013,0.97,385,573,Kalimantan
Kalimantan Selatan,2014,0.98,392,466,Kalimantan
Kalimantan Selatan,2015,0.98,399,174,Kalimantan
Kalimantan Selatan,2016,0.98,406,477,Kalimantan
Kalimantan Selatan,2017,0.98,412,2067,Kalimantan
Kalimantan Selatan,2018,0.98,418,1269,Kalimantan
Kalimantan Selatan,2019,0.98,424,1459,Kalimantan
Kalimantan Selatan,2020,0.99,430,1440,Kalimantan
Kalimantan Selatan,2021,0.99,436,1389,Kalimantan
Kalimantan Selatan,2022,0.99,442,1430,Kalimantan
Kalimantan Selatan,2023,0.99,448,1420,Kalimantan
Kalimantan Selatan,2024,0.99,454,1413,Kalimantan
Kalimantan Selatan,2025,0.99,460,1421,Kalimantan
Kalimantan Selatan,2026,0.99,466,1418,Kalimantan
Kalimantan Selatan,2027,0.99,472,1417,Kalimantan
Kalimantan Selatan,2028,0.99,478,1418,Kalimantan
Kalimantan Selatan,2029,0.99,484,1418,Kalimantan
Kalimantan Selatan,2030,0.99,490,1418,Kalimantan
Kalimantan Selatan,2031,0.99,496,1418,Kalimantan
Kalimantan Selatan,2032,0.99,502,1418,Kalimantan
Kalimantan Selatan,2033,0.99,508,1418,Kalimantan
Kalimantan Selatan,2034,0.99,514,1418,Kalimantan
Kalimantan Selatan,2035,0.99,520,1418,Kalimantan
Kalimantan Selatan,2036,0.99,526,1418,Kalimantan
Kalimantan Selatan,2037,0.99,532,1418,Kalimantan
Kalimantan Selatan,2038,0.99,538,1418,Kalimantan
Kalimantan Selatan,2039,0.99,544,1418,Kalimantan
Kalimantan Selatan,2040,0.99,550,1418,Kalimantan
Kalimantan Selatan,2041,0.99,556,1418,Kalimantan
Kalimantan Selatan,2042,0.99,562,1418,Kalimantan
Kalimantan Selatan,2043,0.99,568,1418,Kalimantan
Kalimantan Selatan,2044,0.99,574,1418,Kalimantan
Kalimantan Selatan,2045,0.99,580,1418,Kalimantan
Kalimantan Tengah,2010,0.97,222,223,Kalimantan
Kalimantan Tengah,2011,0.97,228,218,Kalimantan
Kalimantan Tengah,2012,0.97,233,212,Kalimantan
Kalimantan Tengah,2013,0.98,238,228,Kalimantan
Kalimantan Tengah,2014,0.99,244,312,Kalimantan
Kalimantan Tengah,2015,0.99,250,188,Kalimantan
Kalimantan Tengah,2016,0.99,255,18,Kalimantan
